row_index,rho,p_value,p_adjusted,ensembl_gene_id,gene_symbol,gene_type
7055,0.0047991475938053575,0.9512175576298665,0.9872809973372005,ENSG00000135341.18,MAP3K7,protein_coding
7381,0.0047889017620508624,0.9513215763467225,0.9872809973372005,ENSG00000136937.13,NCBP1,protein_coding
35352,-0.004786852595699964,0.9513423801887582,0.9872809973372005,ENSG00000239951.1,IGKV3-20,IG_V_gene
37267,-0.004784816211713831,0.951363054292376,0.9872809973372005,ENSG00000244586.1,WNT5A-AS1,lncRNA
58044,0.004784803429349065,0.9513631840636491,0.9872809973372005,ENSG00000285589.1,AC010422.8,protein_coding
10444,0.004782754262998166,0.9513839879713816,0.9872809973372005,ENSG00000160209.19,PDXK,protein_coding
7904,0.004772508431243671,0.951488008002174,0.9873301830239175,ENSG00000139988.10,RDH12,protein_coding
12727,0.004752016767734681,0.9516960505188063,0.9874872974053214,ENSG00000170017.12,ALCAM,protein_coding
14844,0.0047367587435913775,0.9518509604004803,0.9875700424074474,ENSG00000180347.13,ITPRID1,protein_coding
8803,-0.004729475937874793,0.9519249010538462,0.9875700424074474,ENSG00000146112.12,PPP1R18,protein_coding
3997,0.004727426771523894,0.9519457058429992,0.9875700424074474,ENSG00000112078.14,KCTD20,protein_coding
779,-0.004721279272471197,0.952008120405096,0.9875760363795383,ENSG00000057935.14,MTA3,protein_coding
15966,0.0047151317734185,0.9520705352588549,0.9875820299410264,ENSG00000185361.9,TNFAIP8L1,protein_coding
1307,0.004682345111804116,0.9524034193891371,0.9878373622488476,ENSG00000075413.19,MARK3,protein_coding
17523,-0.004678246779102319,0.9524450304851313,0.9878373622488476,ENSG00000197774.13,EME2,protein_coding
55420,-0.004674148446400521,0.9524866417095759,0.9878373622488476,ENSG00000279342.2,AP000866.6,lncRNA
1146,-0.004653656782891531,0.9526946997546306,0.9879356217437701,ENSG00000071127.17,WDR1,protein_coding
19709,-0.004653656782891531,0.9526946997546306,0.9879356217437701,ENSG00000203993.6,ARRDC1-AS1,lncRNA
17316,-0.004643410951137036,0.9527987299759488,0.9879691412541194,ENSG00000197121.15,PGAP1,protein_coding
17608,-0.004639312618435238,0.9528403422876944,0.9879691412541194,ENSG00000198018.7,ENTPD7,protein_coding
6963,-0.004631115953031643,0.9529235672932288,0.9879966846766578,ENSG00000134815.19,DHX34,protein_coding
21513,0.004618820954926249,0.9530484057549558,0.9879976518318929,ENSG00000211653.2,IGLV1-40,IG_V_gene
8650,0.00459228913882253,0.9533178030211605,0.9879976518318929,ENSG00000145040.4,UCN2,protein_coding
17508,0.004590132626013664,0.9533396999326036,0.9879976518318929,ENSG00000197728.11,RPS26,protein_coding
11326,-0.004590132626013664,0.9533396999326036,0.9879976518318929,ENSG00000164332.8,UBLCP1,protein_coding
7024,0.004586034293311865,0.9533813138916076,0.9879976518318929,ENSG00000135164.19,DMTF1,protein_coding
17193,0.0045839851269609665,0.9534021209183393,0.9879976518318929,ENSG00000196704.13,AMZ2,protein_coding
17572,0.004579886794259169,0.9534437350661918,0.9879976518318929,ENSG00000197927.13,NBEAP2,transcribed_unprocessed_pseudogene
11204,-0.004579886794259169,0.9534437350661918,0.9879976518318929,ENSG00000164032.12,H2AZ1,protein_coding
16855,0.004575788461557371,0.9534853493398032,0.9879976518318929,ENSG00000189007.16,ADAT2,protein_coding
13673,-0.0045737392952064715,0.9535061565237338,0.9879976518318929,ENSG00000174353.17,STAG3L3,transcribed_unprocessed_pseudogene
7052,-0.004569640962504674,0.9535477709857731,0.9879976518318929,ENSG00000135334.9,AKIRIN2,protein_coding
6136,0.004563493463451977,0.9536101929140692,0.9880036205491757,ENSG00000129422.14,MTUS1,protein_coding
29580,-0.004547100132644786,0.9537766527669101,0.9881077414767503,ENSG00000230629.2,RPS23P8,processed_pseudogene
14336,-0.0045409526335920885,0.9538390757271646,0.9881077414767503,ENSG00000177666.17,PNPLA2,protein_coding
6219,-0.004536854300890291,0.9538806911898914,0.9881077414767503,ENSG00000130175.10,PRKCSH,protein_coding
34186,0.004516362637381301,0.9540887703699971,0.9881219618022706,ENSG00000237424.1,FOXD2-AS1,lncRNA
17963,-0.004510215138328604,0.9541511947292656,0.9881219618022706,ENSG00000198954.9,KIFBP,protein_coding
13056,-0.004506116805626807,0.9541928111236162,0.9881219618022706,ENSG00000171453.20,POLR1C,protein_coding
11102,-0.004504067639275907,0.9542136193672008,0.9881219618022706,ENSG00000163702.20,IL17RC,protein_coding
15465,-0.004502030499843806,0.9542343055141826,0.9881219618022706,ENSG00000183347.15,GBP6,protein_coding
44921,0.004502018472925008,0.9542344276417065,0.9881219618022706,ENSG00000259153.2,AC004816.1,lncRNA
7049,-0.00447947764306512,0.9544633206980403,0.9882241587392258,ENSG00000135318.12,NT5E,protein_coding
3296,0.004469231811310625,0.9545673642276019,0.9882241587392258,ENSG00000106351.13,AGFG2,protein_coding
9173,0.004461035145907029,0.954650599603621,0.9882241587392258,ENSG00000149179.14,C11orf49,protein_coding
15191,0.004461035145907029,0.954650599603621,0.9882241587392258,ENSG00000182218.9,HHIPL1,protein_coding
1324,-0.004461035145907029,0.954650599603621,0.9882241587392258,ENSG00000075826.17,SEC31B,protein_coding
21754,-0.004458813146421933,0.9546731636154302,0.9882241587392258,ENSG00000211970.3,IGHV4-61,IG_V_gene
6576,0.004448740147801635,0.9547754535861628,0.9882713750553199,ENSG00000132383.12,RPA1,protein_coding
5436,0.00444054348239804,0.9548586901855569,0.9882988651252778,ENSG00000123989.14,CHPF,protein_coding
11869,0.004424150151590848,0.9550251648467856,0.9883753726721345,ENSG00000166484.20,MAPK7,protein_coding
36672,0.0044221009852399495,0.9550459743162696,0.9883753726721345,ENSG00000243176.6,AC092944.1,lncRNA
34347,0.004415176602393543,0.9551162922744011,0.9883894829904292,ENSG00000237643.2,AL365226.1,lncRNA
16112,0.004405707654432757,0.9552124511639221,0.988430331193716,ENSG00000185950.9,IRS2,protein_coding
24942,-0.004360975511204562,0.9556667229271488,0.9888056554266139,ENSG00000223829.6,AC004870.2,lncRNA
2351,-0.00434218349755489,0.9558575671683592,0.9888056554266139,ENSG00000100599.16,RIN3,protein_coding
1978,-0.004333986832151294,0.9559408100388702,0.9888056554266139,ENSG00000092607.15,TBX15,protein_coding
15938,0.004323741000396799,0.956044864296433,0.9888056554266139,ENSG00000185269.12,NOTUM,protein_coding
11373,-0.0043216918340459,0.9560656752370619,0.9888056554266139,ENSG00000164535.15,DAGLB,protein_coding
29231,0.0043155443349932035,0.9561281082369285,0.9888056554266139,ENSG00000230148.8,HOXB-AS1,lncRNA
50815,0.0043155443349932035,0.9561281082369285,0.9888056554266139,ENSG00000270820.6,AC016727.1,lncRNA
13368,0.004313495168642305,0.9561489192961639,0.9888056554266139,ENSG00000172757.13,CFL1,protein_coding
11225,-0.004307347669589607,0.9562113526515139,0.9888056554266139,ENSG00000164074.15,ABHD18,protein_coding
27201,0.004286856006080618,0.9564194657562282,0.9888056554266139,ENSG00000227110.7,LMCD1-AS1,lncRNA
10661,-0.004280708507027921,0.956481900262248,0.9888056554266139,ENSG00000161981.11,SNRNP25,protein_coding
21756,0.004277238671673087,0.956517140312326,0.9888056554266139,ENSG00000211973.2,IGHV1-69,IG_V_gene
1414,0.004276610174326123,0.9565235234132453,0.9888056554266139,ENSG00000078177.14,N4BP2,protein_coding
11535,0.004274561007975224,0.956544335032797,0.9888056554266139,ENSG00000165169.11,DYNLT3,protein_coding
366,-0.004266364342571628,0.9566275818043639,0.9888056554266139,ENSG00000015676.18,NUDCD3,protein_coding
799,0.004264315176220729,0.9566483935705258,0.9888056554266139,ENSG00000059378.13,PARP12,protein_coding
10554,0.0042622688564692745,0.9566691764552411,0.9888056554266139,ENSG00000160951.4,PTGER1,protein_coding
6477,-0.0042602282244766825,0.9566899016028587,0.9888056554266139,ENSG00000131668.14,BARX1,protein_coding
9987,0.004254069344466234,0.9567524528402517,0.9888056554266139,ENSG00000156482.11,RPL30,protein_coding
6519,0.004252020178115335,0.9567732647818824,0.9888056554266139,ENSG00000131944.10,FAAP24,protein_coding
4570,-0.004249971011764437,0.956794076752709,0.9888056554266139,ENSG00000116459.11,ATP5PB,protein_coding
6045,0.004239725180009942,0.9568981370442851,0.9888056554266139,ENSG00000128596.17,CCDC136,protein_coding
14302,0.004237676013659043,0.9569189491899911,0.9888056554266139,ENSG00000177483.11,RBM44,protein_coding
16104,0.00422333184920275,0.9570646350238775,0.9888056554266139,ENSG00000185920.16,PTCH1,protein_coding
16938,0.004221282682851851,0.9570854474019708,0.9888056554266139,ENSG00000189337.17,KAZN,protein_coding
3422,0.0042192335165009524,0.9571062598090491,0.9888056554266139,ENSG00000107521.19,HPS1,protein_coding
16752,0.0042192335165009524,0.9571062598090491,0.9888056554266139,ENSG00000188641.14,DPYD,protein_coding
16671,-0.004202840185693761,0.9572727601074629,0.9888997361486538,ENSG00000188312.14,CENPP,protein_coding
394,-0.004196692686641064,0.957335198195927,0.9888997361486538,ENSG00000019582.15,CD74,protein_coding
17959,0.00418439768853567,0.9574600751505329,0.9888997361486538,ENSG00000198947.16,DMD,protein_coding
5414,-0.00418439768853567,0.9574600751505329,0.9888997361486538,ENSG00000123643.13,SLC36A1,protein_coding
8571,-0.004182348522184771,0.9574808880769469,0.9888997361486538,ENSG00000144488.15,ESPNL,protein_coding
5114,0.004151611026921287,0.9577930854115388,0.9891050062375484,ENSG00000120913.23,PDLIM2,protein_coding
444,-0.004151611026921287,0.9577930854115388,0.9891050062375484,ENSG00000025156.13,HSF2,protein_coding
35508,-0.004124999413668956,0.9580633818019156,0.9892789767362845,ENSG00000240338.6,AC009078.2,transcribed_unprocessed_pseudogene
5058,0.004120873531657803,0.958105289160473,0.9892789767362845,ENSG00000120519.15,SLC10A7,protein_coding
5934,-0.004092185202745217,0.9583966850715265,0.9892789767362845,ENSG00000127554.13,GFER,protein_coding
9603,0.004090138768034939,0.9584174715299998,0.9892789767362845,ENSG00000153002.12,CPB1,protein_coding
12466,0.004088086870043419,0.9584383135093376,0.9892789767362845,ENSG00000168917.9,SLC35G2,protein_coding
45150,-0.00408603770369252,0.9584591277703599,0.9892789767362845,ENSG00000259426.6,AC027237.3,lncRNA
51625,-0.00408603770369252,0.9584591277703599,0.9892789767362845,ENSG00000272168.8,CASC15,lncRNA
14361,-0.0040778410382889246,0.9585423850948996,0.9892789767362845,ENSG00000177733.7,HNRNPA0,protein_coding
11893,0.004073742705587126,0.9585840139252436,0.9892789767362845,ENSG00000166579.16,NDEL1,protein_coding
16905,-0.004063496873832632,0.9586880864904188,0.9892789767362845,ENSG00000189184.12,PCDH18,protein_coding
